document_number,title,type,agency_names,publication_date,html_url,change
2025-14312,"Foreign-Trade Zone (FTZ) 17, Notification of Proposed Production Activity; Garmin International, Inc.; (Avionics and Auto Products; Marine and Personal GPS Products); Olathe, Kansas",Notice,Commerce Department; Foreign-Trade Zones Board,2025-07-29,https://www.federalregister.gov/documents/2025/07/29/2025-14312/foreign-trade-zone-ftz-17-notification-of-proposed-production-activity-garmin-international-inc,unchanged
2025-13511,Proposed Data Collection Submitted for Public Comment and Recommendations,Notice,Health and Human Services Department; Centers for Disease Control and Prevention,2025-07-18,https://www.federalregister.gov/documents/2025/07/18/2025-13511/proposed-data-collection-submitted-for-public-comment-and-recommendations,unchanged
2025-13489,Accounting Requirements for RUS Electric Borrowers,Rule,Agriculture Department; Rural Utilities Service,2025-07-18,https://www.federalregister.gov/documents/2025/07/18/2025-13489/accounting-requirements-for-rus-electric-borrowers,unchanged
2025-13488,"Marine Mammals; Proposed Incidental Harassment Authorization for the Southern Beaufort Sea Stock of Polar Bears and Pacific Walruses in West Harrison Bay, AK; Draft Environmental Assessment",Notice,Interior Department; Fish and Wildlife Service,2025-07-18,https://www.federalregister.gov/documents/2025/07/18/2025-13488/marine-mammals-proposed-incidental-harassment-authorization-for-the-southern-beaufort-sea-stock-of,unchanged
2025-12778,"TUV SUD America, Inc.: Application for Expansion of Recognition and Proposed Modification to the NRTL Program's List of Appropriate Test Standards",Notice,Labor Department; Occupational Safety and Health Administration,2025-07-09,https://www.federalregister.gov/documents/2025/07/09/2025-12778/tuv-sud-america-inc-application-for-expansion-of-recognition-and-proposed-modification-to-the-nrtl,unchanged
2025-12694,"Foreign-Trade Zone (FTZ) 38, Notification of Proposed Production Activity; GE Gas Turbines (Greenville) LLC; (Gas Turbines); Greenville, South Carolina",Notice,Commerce Department; Foreign-Trade Zones Board,2025-07-08,https://www.federalregister.gov/documents/2025/07/08/2025-12694/foreign-trade-zone-ftz-38-notification-of-proposed-production-activity-ge-gas-turbines-greenville,unchanged
2025-12383,Revision of National Environmental Policy Act Implementing Procedures,Rule,Energy Department,2025-07-03,https://www.federalregister.gov/documents/2025/07/03/2025-12383/revision-of-national-environmental-policy-act-implementing-procedures,unchanged
2025-12326,National Environmental Policy Act,Rule,Agriculture Department,2025-07-03,https://www.federalregister.gov/documents/2025/07/03/2025-12326/national-environmental-policy-act,unchanged
2025-11373,Air Plan Approval; New York; Fuel Composition and Use,Rule,Environmental Protection Agency,2025-06-20,https://www.federalregister.gov/documents/2025/06/20/2025-11373/air-plan-approval-new-york-fuel-composition-and-use,unchanged
2025-11128,"Renewable Fuel Standard (RFS) Program: Standards for 2026 and 2027, Partial Waiver of 2025 Cellulosic Biofuel Volume Requirement, and Other Changes",Proposed Rule,Environmental Protection Agency,2025-06-17,https://www.federalregister.gov/documents/2025/06/17/2025-11128/renewable-fuel-standard-rfs-program-standards-for-2026-and-2027-partial-waiver-of-2025-cellulosic,removed
